Name,Link,Distributer,Developer,Release Date,Also On,Summary,Metascore,Meta Status,# of Critic Reviews,Critic Positive,Critic Mixed,Critic Negative,Userscore,Userscore Status,# of User Reviews,User Positive,User Mixed,User Negative,Genres,# Of Players,Rating,Awards
world-soccer-winning-eleven-9,https://www.metacritic.com/game/pc/world-soccer-winning-eleven-9,Konami,KCET,28-Apr-06,PlayStation 2,"Arsenal's Thierry Henry and Chelsea's John Terry stare out from the box of Pro Evolution Soccer 5, both men at the top of their game in the Premiership, and both are die-hard fans of the PES series. The retuned controls in the 2005 edition give players more control over weighted passes, one-twos, and so on. This ties in with the improved animation, which not only looks more realistic, but requires you to time kicks and shots perfectly for maximum power - you're more likely to scuff the ball and make weak, inaccurate shots if you attempt to play them while off balance or out of step. In order for you to enjoy the full benefit of the updated controls, Training Mode is extended - rewarding efforts with points used to unlock secrets within the game. The new licensed clubs are all meticulously detailed, including the authentic representation of names and numbers on their backs. Increased detail in all players has been transferred to the Player Design mode, which has been hugely expanded to include more factors determining skill and ability. Master League, in which you guide a lowly team to glory, now allows player-managers to monitor individual players and see when their health declines and includes European teams. In all games, weather conditions can be set to 'variable', leading to patchy rain or snow. The new weather conditions further enhance the realism and unpredictable nature of PES matches. Rain or shine, PES 5 will be the greatest console football you've ever experienced. [Konami Europe] Collapse",89,generally favorable reviews,7,7,0,0,8.3,generally favorable reviews,98,9,7,4,"Sports, Traditional, Team, Soccer, Sim, Sim",,E,"#4 Best PC Game of 2006
#56 Most Discussed PC Game of 2006"
worldwide-soccer-manager-2005,https://www.metacritic.com/game/pc/worldwide-soccer-manager-2005,Sega,Sports Interactive,7-Dec-04,,"(Also known as ""WorldWide Soccer Manager 2005"") Sports Interactive have crafted a superbly detailed masterpiece in Football Manager 2005. Manager Mind games: With Football Manager, mind games can play a key part in every game. Put your fellow managers under the strain with a few white lies and then turn the screw with a damning criticism of your rivals＊ title chances. Just be wary of reaction and retaliation! Agents: Slicked back hair, mobile phones and a bad cockney accent! Bring on the agents - attempting to whittle you out of a few more million on a possible signing. You just have to decide whether they＊re trying to flog you the next big thing or a complete donkey. The Back Room Boys: If you don＊t want to don the tracksuit and sweat it out on the training field, then why not hire some help? From assistant managers to the best physios, they＊ll do the legwork and keep you informed on your players, helping you sort the men from the boys. The Big Match: Tired of watching player＊s use the same old moves that couldn＊t take the ball round a lamppost? Football Manager 2005 has 30 extra fields for player data including ＆preferred moves＊, allowing you to witness your stars perform their signature tricks. With feedback from the fans, Sports Interactive have further refined their award winning games engine to give you what you want from a management game. Football Today: Still have Smith playing for Leeds? That＊s SO last season! With more leagues, players and championships than any other football management sim, Football Manager 2005 will also have the latest squads and transfers right up to the end of the summer transfer window, guaranteeing you＊ll be on the ball. [Sports Interactive] Collapse",89,generally favorable reviews,18,18,0,0,8.3,generally favorable reviews,59,27,2,1,"Sports, Traditional, Team, Soccer, Management, Management",2,E,"#9 Best PC Game of 2004
#36 Most Discussed PC Game of 2004
#67 Most Shared PC Game of 2004"
dead-cells,https://www.metacritic.com/game/pc/dead-cells,Motion Twin,Motion Twin,7-Aug-18,"iPhone/iPad, PlayStation 4, Switch, Xbox One","Dead Cells is a rogue-lite, metroidvania action-platformer. You'll explore a sprawling, ever-changing castle... assuming you＊re able to fight your way past its keepers in 2D souls-lite combat. No checkpoints. Kill, die, learn, repeat.",89,generally favorable reviews,34,33,1,0,8.1,generally favorable reviews,656,94,18,16,"Action, Platformer, 2D",No Online Multiplayer,,"#2 Best PC Game of 2018
#28 Most Discussed PC Game of 2018
#29 Most Shared PC Game of 2018"
there-is-no-game-wrong-dimension,https://www.metacritic.com/game/pc/there-is-no-game-wrong-dimension,Draw Me A Pixel,Draw Me A Pixel,6-Aug-20,"iPhone/iPad, Switch","There is no game. So don't go messing things up by clicking everywhere. You don＊t want to be kicked out of your video game world, do you? Of course not!",89,generally favorable reviews,9,9,0,0,8.7,generally favorable reviews,133,42,1,0,"Adventure, General, Point-and-Click",No Online Multiplayer,E10+,"#7 Best PC Game of 2020
#75 Most Discussed PC Game of 2020"
slay-the-spire,https://www.metacritic.com/game/pc/slay-the-spire,Mega Crit Games,Mega Crit Games,23-Jan-19,"iPhone/iPad, PlayStation 4, Switch, Xbox One","We fused card games and roguelikes together to make the best single player deckbuilder we could. Craft a unique deck, encounter bizarre creatures, discover relics of immense power, and Slay the Spire!",89,generally favorable reviews,24,24,0,0,7.6,generally favorable reviews,615,96,13,9,"Strategy, Turn-Based, Card Battle",No Online Multiplayer,,"#8 Best PC Game of 2019
#37 Most Discussed PC Game of 2019
#71 Most Shared PC Game of 2019"
left-4-dead,https://www.metacritic.com/game/pc/left-4-dead,"Electronic Arts , Valve Software",Valve Software,17-Nov-08,Xbox 360,"Fight together...or die alone. A new and highly virulent strain of the rabies virus emerges and spreads through the human population with frightening speed. The pandemic's victims become grotesquely disfigured, wildly violent psychopaths, attacking the uninfected on sight. One of the ""lucky"" few apparently immune to the sickness, you, unfortunately, are also trapped in a city crawling with thousands of the bloodthirsty Infacted. Together with a handful of fellow Survivors, you must fight your way to safety or die alone. A co-operative multiplayer action game from the makers of ""Counter-Strike,"" Left 4 Dead is built atop the most advanced version of the Source Engine and introduces version 2 of Turtle Rock's artificial intelligence (A.I.) technology. [Turtle Rock Studios] Collapse",89,generally favorable reviews,58,57,1,0,9,universal acclaim,4291,465,69,28,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",8,M,"#6 Best PC Game of 2008
#4 Most Discussed PC Game of 2008
#10 Most Shared PC Game of 2008"
left-4-dead-2,https://www.metacritic.com/game/pc/left-4-dead-2,Electronic Arts,Valve Software,16-Nov-09,Xbox 360,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns. Play as one of four new survivors armed with a wide and devastating array of classic and upgraded weapons. In addition to firearms, you'll also get a chance to take out some aggression on infected with a variety of carnage-creating melee weapons, from chainsaws to axes and even the deadly frying pan. You'll be putting these weapons to the test against (or playing as in Versus) three horrific and formidable new Special Infected. You＊ll also encounter five new ""uncommon"" common infected, including the terrifying Mudmen. Helping to take L4D's frantic, action-packed gameplay to the next level is AI Director 2.0. This improved Director has the ability to procedurally change the weather you＊ll fight through and the pathways you'll take, in addition to tailoring the enemy population, effects, and sounds to match your performance. L4D2 promises a satisfying and uniquely challenging experience every time the game is played, custom-fitted to your style of play. [Valve] Collapse",89,generally favorable reviews,55,55,0,0,8.4,generally favorable reviews,3488,475,100,73,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Tactical",8,M,"#6 Best PC Game of 2009
#5 Most Discussed PC Game of 2009
#3 Most Shared PC Game of 2009"
f1-2017,https://www.metacritic.com/game/pc/f1-2017,Codemasters,Codemasters,24-Aug-17,"PlayStation 4, Xbox One","Win the 2017 World Championship, break every record in the fastest ever F1 cars, and race some of the most iconic F1 cars of the last 30 years. The game sports an even deeper ten year Career, more varied gameplay in the new ＆Championships＊ mode, and a host of other new features, both online and offline. Collapse",89,generally favorable reviews,13,13,0,0,7.3,mixed or average reviews,106,11,1,1,"Racing, Simulation, Automobile",,E,"#4 Best PC Game of 2017
#79 Most Shared PC Game of 2017"
nascar-racing-2002-season,https://www.metacritic.com/game/pc/nascar-racing-2002-season,Sierra Entertainment,Papyrus,14-Feb-02,,"Race Against Jeff Gordon, Kevin Harvick, Dale Earnhardt Jr., Dale Jarrett, and more in the 2002 Season! Get behind the wheel of a 750 horsepower stock car and battle for the championship on real-life tracks. Get under the hood to fine-tune your car or just jump in and race against the best in Arcade Mode. Feel car vibrations, hear the roar of the engines, and sweat it out racing fender to fender at 180 miles per hour. [Sierra] Collapse",89,generally favorable reviews,15,14,1,0,5.6,mixed or average reviews,25,3,1,5,"Driving, Racing, Simulation, Stock Car, Stock Car, Automobile",,E,"#12 Best PC Game of 2002
#59 Most Discussed PC Game of 2002
#60 Most Shared PC Game of 2002"
mass-effect,https://www.metacritic.com/game/pc/mass-effect,Electronic Arts,"BioWare, Demiurge Studios",28-May-08,"PlayStation 3, Xbox 360","As the first human on the galactic stage, you must uncover the greatest threat to civilization. Your job is complicated by the very fact of your humanity, as no one trusts you and you need to find a way to convince everyone of the grave threat. You will travel across an expansive universe to piece the mystery together. As you discover and explore the uncharted edges of the galaxy, you come closer to an overwhelming truth - learning that the placid and serene universe you know is about to come to a violent end and that you may be the only person who can stop it! In addition to the main story arc of the game, players are be able to visit a large number of uncharted, unexplored planets which are side quests independent from the main story. At any time during the campaign, a player can choose to explore one of these planets and have an opportunity to discover new alien life, resources, ruined civilizations and powerful technologies. Talents and abilities are upgradeable and advanced talent options become available at higher levels. Weapons and vehicles are customizable to include various effects, abilities and upgrades using the ""X-Mod"" system. Each character class have unique talents and abilities which increase in power as the player progresses through the game. Optimized controls have been designed specifically for the PC. Fully customizable controls a?? PC gamers can re-map the control scheme any way they like. Run & Gun Control a?? Players can assign biotic powers or skills to a??hot keysa?? allowing them to play Mass Effect with a heavier focus on action. New decryption mini-game. New inventory screen GUI and functionality a?? The enhanced inventory system makes it easier for players to equip and modify their weapons and armor. [Microsoft] Collapse",89,generally favorable reviews,45,45,0,0,8.6,generally favorable reviews,3851,388,84,39,"Role-Playing, Action RPG, Console-style RPG, Japanese-Style, Western-Style",No Online Multiplayer,M,"#7 Best PC Game of 2008
#6 Most Discussed PC Game of 2008"
psychonauts-2,https://www.metacritic.com/game/pc/psychonauts-2,"Starbreeze , Double Fine Productions , Xbox Game Studios",Double Fine Productions,25-Aug-21,"PlayStation 4, Xbox One, Xbox Series X","Razputin Aquato, trained acrobat and powerful young psychic, has realized his life long dream of joining the international psychic espionage organization known as the Psychonauts! But these psychic super spies are in trouble. Their leader hasn't been the same since he was kidnapped, and what's worse, there's a mole hiding in headquarters. Raz must use his powers to stop the mole before they execute their secret plan--to bring the murderous psychic villain, Maligula, back from the dead. Collapse",89,generally favorable reviews,36,36,0,0,7.3,mixed or average reviews,939,260,18,26,"Beat-'Em-Up, Action, Action Adventure, Platformer, Open-World, 3D",No Online Multiplayer,T,"#5 Best PC Game of 2021
#12 Most Discussed PC Game of 2021"
combat-mission-barbarossa-to-berlin,https://www.metacritic.com/game/pc/combat-mission-barbarossa-to-berlin,Battlefront.com,Big Time Software,29-Oct-02,,"CMBB is the sequel to the award winning ""Combat Mission: Beyond Overlord"" game. CMBB is a 1 or 2 player, hybrid turn-based/realtime 3D simulation of WWII tactical warfare on the Eastern Front, from June 1941 through May 1945. It combines unparalleled game depth, stunning graphics and sound with a proven and easy to use interface in a true 3D environment. [Battlefront.com] Collapse",89,generally favorable reviews,12,11,1,0,7.4,mixed or average reviews,24,4,0,0,"Strategy, Real-Time, Wargame, Real-Time, General",12,T,"#13 Best PC Game of 2002
#98 Most Discussed PC Game of 2002
#28 Most Shared PC Game of 2002"
homeworld-cataclysm,https://www.metacritic.com/game/pc/homeworld-cataclysm,Sierra Entertainment,Barking Dog,7-Sep-00,,"Homeworld: Cataclysm boasts 18 all-new ships, 25 new technologies, 17 single-player missions, and fantastic multiplay, while improving on the interface and technology that earned Homeworld 1999's highest accolades. [Sierra Studios]",89,generally favorable reviews,25,25,0,0,8.8,generally favorable reviews,92,3,1,0,"Strategy, Real-Time, Sci-Fi, Sci-Fi, General",14,E,"#9 Best PC Game of 2000
#68 Most Discussed PC Game of 2000"
the-walking-dead-episode-5---no-time-left,https://www.metacritic.com/game/pc/the-walking-dead-episode-5---no-time-left,Telltale Games,Telltale Games,21-Nov-12,"PlayStation 3, Xbox 360","Assume the role of Lee Everett, a convicted criminal, who has been given a second chance at life in a world infested with the undead. With corpses returning to life and survivors stopping at nothing to maintain their own safety, protecting an orphaned girl named Clementine may offer him redemption in a world gone to hell. Collapse",89,generally favorable reviews,21,20,1,0,8.5,generally favorable reviews,462,52,10,6,"Miscellaneous, Adventure, General, Compilation, Point-and-Click",,M,"#5 Best PC Game of 2012
#73 Most Discussed PC Game of 2012"
guild-wars,https://www.metacritic.com/game/pc/guild-wars,NCSOFT,ArenaNet,26-Apr-05,,"Guild Wars takes the best elements of today's massively multiplayer online games and combines them with a new mission-based design that eliminates the tedium of those games. You can meet new friends in towns or outposts, form a party, and then go tackle a quest together. Your party always has its own unique copy of the quest map, so camping, kill-stealing, and long lines to complete quests are all things of the past. Within a quest you have unprecedented freedom and power to manipulate the world around you: your magic can build bridges and open up new pathways, or it can burn down forests and tear the ground asunder. You don't have to spend countless hours on a leveling treadmill to get to the interesting parts of the game, because combat is designed to be strategically interesting and challenging right from the beginning. You don't have to spend hours running around the world to prepare for a quest, because Guild Wars allows you to instantly travel to the beginning of any quest that you've previously unlocked. You'll never spend days playing only to discover that choices you made early on have left you with a permanently uncompetitive character, because the unique skill system in Guild Wars allows infinite experimentation but doesn't allow bad decisions to ruin a character. And you'll never meet new players only to discover that you can't play with them or compete against them because their characters are on a different server than yours; in Guild Wars, all characters live in one seamless world. [NCsoft] Collapse",89,generally favorable reviews,53,52,1,0,8.4,generally favorable reviews,497,111,14,17,"Role-Playing, Miscellaneous, General, General, Compilation, Massively Multiplayer",64,T,"#7 Best PC Game of 2005
#12 Most Discussed PC Game of 2005
#16 Most Shared PC Game of 2005"
borderlands-2,https://www.metacritic.com/game/pc/borderlands-2,2K Games,Gearbox Software,17-Sep-12,"PlayStation 3, PlayStation Vita, Xbox 360, Xbox One","Borderlands 2 advances the distinct blending of FPS and role-playing genres to create an evolution of the Role Playing Shooter. Team up with up to 3 other players for 4-player online goodness or go old-school with 2-player split-screen couch sharing mayhem as you spend hours leveling up your character and equipping them with one of the millions of badass weapons. Borderlands 2 features a new array of procedurally generated guns, shields, grenades, artifacts, enemies and more. Choose one of the 4 new character classes to be taken through a carefully crafted and connected story to all new and surprising environments across the living planet of Pandora. Make new friends, arm them to the teeth and fight alongside them on your relentless quest for revenge and redemption. Collapse",89,generally favorable reviews,38,37,1,0,8.2,generally favorable reviews,3601,502,111,80,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",4,M,"#6 Best PC Game of 2012
#8 Most Discussed PC Game of 2012
#7 Most Shared PC Game of 2012"
max-payne,https://www.metacritic.com/game/pc/max-payne,Gathering,Remedy Entertainment,23-Jul-01,"iPhone/iPad, PlayStation 2, PlayStation 4","A story-driven third-person shooter with a realistic weapon setup including over a dozen real-life guns, all fitting the crime-story setting like a bullet in the head. The action is surrounded with more than 80 hand-painted comic-screens that enhance the game's gritty atmosphere and attitude, introduce the game's murderous cast of characters, and carry the plot from one location to the next. [Gathering of Developers] Collapse",89,generally favorable reviews,32,30,1,1,9,universal acclaim,1979,217,16,10,"Action, Shooter, Shooter, Third-Person, Modern, Modern, Arcade",No Online Multiplayer,M,"#5 Best PC Game of 2001
#1 Most Discussed PC Game of 2001
#1 Most Shared PC Game of 2001"
out-of-the-park-baseball-15,https://www.metacritic.com/game/pc/out-of-the-park-baseball-15,Out Of The Park Developments,,21-Apr-14,,"In OOTP 15 you guide your team to glory. Set up your roster, trade players, draft the next superstar, negotiate with free agents, discover talent in the rule-5 draft, keep an eye on your minor leaguers, scout foreign countries or other leagues, it's all here. On top of the GM features, OOTP sports a great baseball simulation engine with stunning statistical accuracy and extensive play-by-play. It is widely regarded as the most realistic baseball game available, by far! You call all the shots from the dugout and see the game unfold before your eyes. Collapse",89,generally favorable reviews,8,8,0,0,7.2,mixed or average reviews,58,14,0,1,"Sports, Traditional, Team, Baseball, Sim",,,#3 Best PC Game of 2014
cuphead-in-the-delicious-last-course,https://www.metacritic.com/game/pc/cuphead-in-the-delicious-last-course,Studio MDHR,Studio MDHR,30-Jun-22,"PlayStation 4, Switch, Xbox One","Another helping of classic Cuphead action awaits you in Cuphead - The Delicious Last Course! Brothers Cuphead and Mugman are joined by the clever, adventurous Ms. Chalice for a rollicking adventure on a previously undiscovered Inkwell Isle! With the aid of new weapons, magical charms, and Ms. Chalice＊s unique abilities, players will take on a new cast of fearsome, larger than life bosses to assist the jolly Chef Saltbaker in Cuphead＊s final challenging quest! Collapse",89,generally favorable reviews,39,38,1,0,8.2,generally favorable reviews,113,33,0,2,"Action, Platformer, 2D",No Online Multiplayer,,"#10 Best PC Game of 2022
#66 Most Discussed PC Game of 2022"
world-in-conflict,https://www.metacritic.com/game/pc/world-in-conflict,Sierra Entertainment,Massive Entertainment,18-Sep-07,,"War is Coming Home. West Germany, 1989. To avoid certain collapse, the Soviet army boldly advances into Europe. NATO responds only to be met on a second front -- a diversionary attack on the American homeland. You are a field commander, leading the era＊s most powerful military machines in the campaign to retake America＊s cities and suburbs. Superpowered Warfare - Unleash the arsenals of the great military superpowers in the gripping single-player story created by best-selling author and Cold War authority, Larry Bond. MassTech Engine - The latest version of Massive＊s proprietary engine allows for a full 360～ range of camera control, allowing you to get right down into the midst of battle. Demolish Everything - Destroy every object in the game 每 crush cars, destroy buildings, burn forests! Drop-in Multiplayer - Join on-going games and immediately help your team take control of the map. [Sierra] Collapse",89,generally favorable reviews,44,43,1,0,8.1,generally favorable reviews,389,48,18,13,"Strategy, Real-Time, Modern, General",16,T,"#10 Best PC Game of 2007
#21 Most Discussed PC Game of 2007
#22 Most Shared PC Game of 2007"
hi-fi-rush,https://www.metacritic.com/game/pc/hi-fi-rush,Bethesda Softworks,Tango Gameworks,25-Jan-23,Xbox Series X,"Feel the beat as wannabe rockstar Chai and his ragtag team fight against an evil megacorp with raucous rhythm combat! From Tango Gameworks comes Hi-Fi RUSH, an all-new action game where the world syncs to the music.",89,generally favorable reviews,32,31,1,0,8.8,generally favorable reviews,946,354,11,36,"Action, Platformer, 3D",No Online Multiplayer,,"#1 Best PC Game of 2023
#3 Most Discussed PC Game of 2023"
nascar-racing-4,https://www.metacritic.com/game/pc/nascar-racing-4,Sierra Entertainment,Papyrus,6-Feb-01,,Puts you in the driver's seat of a 750-hp NASCAR Winston Cup car that responds to your every move and leaves your heart pounding! Papyrus originated the NASCAR sim and consistently sets the standard in racing games. [Sierra],89,generally favorable reviews,14,14,0,0,7.4,mixed or average reviews,29,13,0,0,"Driving, Racing, Simulation, Stock Car, Stock Car, Automobile",,E,"#6 Best PC Game of 2001
#50 Most Discussed PC Game of 2001
#74 Most Shared PC Game of 2001"
duke-nukem-3d,https://www.metacritic.com/game/pc/duke-nukem-3d,GT Interactive,3D Realms,29-Jan-96,"iPhone/iPad, Xbox 360","Prepare yourself for the ultimate 3D Slugfest. Murderous aliens have landed in futuristic Los Angeles, and the humans suddenly find themselves atop the endangered species list. The odds are a million-to-one. Just the way Duke likes it. Dive into realistic 3D scenarios, with 28 totally realistic levels, as you drive the sinister aliens through the streets of LA, out to an orbiting station, and onto the surface of the moon itself! An you'll be armed to the teeth with 10 hi-tech weapons. Clear crowds with the pump action Assault Shotgun, blast through enemies and walls with the Rocket Propelled Grenade, splat enemies under foot after blasting them with the Shrinker, cut through trouble with the 3-barel Ripper machine gun, set DukeMatch traps with the wall-mounted Laser Mine, watch enemies shatter after cooling them off with the Freeze Cannon, and 4 more! [FormGen] Collapse",89,generally favorable reviews,8,8,0,0,8.7,generally favorable reviews,519,54,5,2,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",8,M,"#5 Best PC Game of 1996
#3 Most Discussed PC Game of 1996
#5 Most Shared PC Game of 1996"
far-cry,https://www.metacritic.com/game/pc/far-cry,Ubisoft,Crytek,23-Mar-04,,"A tropical paradise seethes with hidden evil in Far Cry, a cunningly detailed action shooter that pushes the boundaries of combat to shocking new levels. Freelance mariner Jack Carver is cursing the day he ever came to this island. A week ago, a brash female reporter named Valerie had offered him an incredible sum of cash to take her to this unspoiled paradise. Shortly after docking, however, Jack's boat was greeted by artillery fire from a mysterious militia group swarming about the island. With his boat destroyed, his money gone, and the gorgeous Valerie suddenly missing, Jack now finds himself facing an army of mercenaries amidst the wilds of the island, with nothing but a gun and his wits to survive. But the further he pushes into the lush jungle canopy, the stranger things become. [Ubi Soft] Collapse",89,generally favorable reviews,72,68,4,0,8,generally favorable reviews,1173,174,61,33,"Action, Shooter, Shooter, First-Person, Modern, Modern, Arcade",No Online Multiplayer,M,"#10 Best PC Game of 2004
#5 Most Discussed PC Game of 2004
#12 Most Shared PC Game of 2004"
nuclear-throne,https://www.metacritic.com/game/pc/nuclear-throne,Vlambeer,Vlambeer,5-Dec-15,"PlayStation 4, PlayStation Vita, Switch, Xbox One","Nuclear Throne is Vlambeers latest action roguelike-like about mutants fighting their way through a post-apocalyptic world. The radioactive waste in the world allows mutants to get ahead by mutating new limbs on the fly, the abundant availability of powerful weaponry make the quest to become ruler of the Wasteland one frought with peril. Collapse",89,generally favorable reviews,15,15,0,0,7.8,generally favorable reviews,235,31,10,0,"General, Action, General, Shooter, Shoot-'Em-Up, Top-Down",No Online Multiplayer,,"#7 Best PC Game of 2015
#65 Most Discussed PC Game of 2015
#44 Most Shared PC Game of 2015"
lone-echo,https://www.metacritic.com/game/pc/lone-echo,Ready at Dawn,Ready at Dawn,20-Jul-17,,"You＊re Jack, an advanced cybernetic AI stationed at a mining facility on the rings of Saturn. Alongside Captain Olivia Rhodes, you＊ll use your technical ingenuity and futuristic tools to overcome a variety of challenges and obstacles while you investigate a mysterious spatial anomaly.",89,generally favorable reviews,14,14,0,0,7.9,generally favorable reviews,82,20,3,2,"Action Adventure, General",,,"#5 Best PC Game of 2017
#93 Most Discussed PC Game of 2017
#62 Most Shared PC Game of 2017"
fifa-soccer-12,https://www.metacritic.com/game/pc/fifa-soccer-12,Electronic Arts,Electronic Arts,27-Sep-11,"3DS, iPhone/iPad, PlayStation 2, PlayStation 3, Xbox 360","FIFA Soccer 12 brings to the pitch a new game-changing Player Impact Engine, which is a physics engine built to deliver real-world physicality in every interaction on the pitch.",89,generally favorable reviews,14,14,0,0,7.2,mixed or average reviews,340,34,11,10,"Sports, Traditional, Team, Soccer, Sim, Sim",,E,"#7 Best PC Game of 2011
#81 Most Discussed PC Game of 2011
#72 Most Shared PC Game of 2011"
xcom-enemy-unknown,https://www.metacritic.com/game/pc/xcom-enemy-unknown,2K Games,Firaxis Games,8-Oct-12,"iPhone/iPad, PlayStation 3, PlayStation Vita, Xbox 360","Enemy Unknown couples tactical turn-based gameplay with action sequences and on-ground combat. Recruit, specialize and train unique soldiers and manage your personnel. Detect and interrupt the alien threat as you construct and expand your XCOM headquarters. Direct soldier squads in turn-based ground battles and deploy air units such as the Interceptor and Skyranger. The fight spreads around the world as the XCOM team engages in over 70 missions, communicating and negotiating with governments around the world. Collapse",89,generally favorable reviews,57,56,1,0,8.2,generally favorable reviews,2589,384,126,92,"Strategy, Turn-Based, General, Sci-Fi, Sci-Fi, General, Tactics",No Online Multiplayer,M,"#7 Best PC Game of 2012
#11 Most Discussed PC Game of 2012
#8 Most Shared PC Game of 2012"
mass-effect-3,https://www.metacritic.com/game/pc/mass-effect-3,Electronic Arts,BioWare,6-Mar-12,"PlayStation 3, Wii U, Xbox 360","BioWare completes the Mass Effect Trilogy with Mass Effect 3. Earth is burning. Striking from beyond known space, a race of terrifying machines have begun their destruction of the human race. As Commander Shepard, an Alliance Marine, the only hope for saving mankind is to rally the civilizations of the galaxy and launch one final mission to take back the Earth. Collapse",89,generally favorable reviews,23,23,0,0,6,mixed or average reviews,7168,728,350,1045,"Role-Playing, Action RPG, Action RPG",4,M,"#8 Best PC Game of 2012
#2 Most Discussed PC Game of 2012
#5 Most Shared PC Game of 2012"
rise-of-nations,https://www.metacritic.com/game/pc/rise-of-nations,Microsoft Game Studios,Big Huge Games,20-May-03,,"Dominate 6,000 years of history from the Ancient Age to the Information Age. Which forces will you deploy to lead your nation to global prominence? Trade, espionage, diplomacy?war? Whichever path you choose, you?ll experience the pulse pounding thrill and speed of real-time gaming combined with the epic scope and depth of turn-based strategy games ? brought together for the first time ever in Rise of Nations. Rise of Nations is a new historical real time strategy game from Big Huge Games' Brian Reynolds, designer of PC game classics such as ""Civilization 2"" and ""Alpha Centauri."" In Rise of Nations, you'll create new cities, improve city infrastructures and expand national borders. Conquer foes through military might using everything from sling-shots to cannons to stealth bombers to nuclear weapons; corner the market on key commodities and consolidate power under your rule; wheel and deal across time with history's eminent cultures. [Microsoft] Collapse",89,generally favorable reviews,30,30,0,0,8.8,generally favorable reviews,385,44,4,3,"Strategy, Real-Time, Historic, General, Historic",18,T,"#7 Best PC Game of 2003
#23 Most Discussed PC Game of 2003
#15 Most Shared PC Game of 2003"
nascar-racing-2003-season,https://www.metacritic.com/game/pc/nascar-racing-2003-season,Sierra Entertainment,Papyrus,14-Feb-03,,"Battle your way to the lead pack in the most immersive racing game of the season! Go bumper-to-bumper against all of your 2003 NASCAR favorites on all 23 real-life tracks, or draft to gain speed and blow right past them at 200 mph. Take the checkered flag and experience the thrill that only NASCAR can deliver. [Sierra] Collapse",89,generally favorable reviews,18,16,2,0,7.9,generally favorable reviews,35,7,1,0,"Driving, Racing, Simulation, Stock Car, Stock Car, Automobile",132,E,#8 Best PC Game of 2003
descent-3,https://www.metacritic.com/game/pc/descent-3,Interplay,Outrage Games,14-Jun-00,,"Descent 2 ended with you drifting helplessly in deep space. Just as your life support begins to fail, you are miraculously rescued by a group of renegade researchers. Soon after, the researchers confide that a Dr. Swietzer has been secretly developing the deadly robot virus you've encountered in the mines. Upon agreeing to help the researchers locate Swietzer, you learn that Dravis, the corporate executive who contracted you, not only is working with Swietzer, but intentionally sabotaged your warp drive, leaving you stranded in the depths of space. Rejuvenated with a desire for revenge, you focus your search for Swietzer, and eagerly await your next meeting with Dravis. The gut-wrenching Descent saga continues with more pulse-pounding action than ever before. Dive into massive subterranean strongholds and experience a whole new degree of freedom powered by the all-new Fusion engine. Test your piloting skills against an army of assault-bots using an extensive arsenal of firepower. Prepare yourself for an explosive new 3D action-experience that will turn your world INSIDE-OUT! [Interplay] Collapse",89,generally favorable reviews,14,14,0,0,7.7,generally favorable reviews,49,4,1,0,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",116,T,"#10 Best PC Game of 2000
#62 Most Discussed PC Game of 2000
#9 Most Shared PC Game of 2000"
the-curse-of-monkey-island,https://www.metacritic.com/game/pc/the-curse-of-monkey-island,LucasArts,LucasArts,31-Oct-97,,"Quick - what has dozens of monkeys, ghost pirates galore and more insults than a cranky parrot? Why, The Curse of Monkey Island, of course! In this highly anticipated third installment to LucasArts' popular Monkey Island series of graphic adventures, Guybrush Threepwood once again takes up dull blade and rapier wit against the nefarious demon-pirate LeChuck. In Curse, Guybrush must save his one true love, Elaine Marley, from being turned into the evil pirate's zombie bride. But, hoping to marry Elaine himself, Guybrush unknowingly slips a cursed ring onto her finger that transforms her into a gold statue. He must then find a way to change Elaine back to her beautiful self and stop LeChuck from carrying out his sinister plans. Aye, 'tis a rollicking piratey adventure that's sure to challenge the mind and shiver a few timbers! [LucasArts] Collapse",89,generally favorable reviews,9,8,1,0,9,universal acclaim,384,57,1,1,"Adventure, General, General, Point-and-Click",No Online Multiplayer,E,"#5 Best PC Game of 1997
#2 Most Discussed PC Game of 1997
#2 Most Shared PC Game of 1997"
