Title,Original Price,Discounted Price,Release Date,Link,Game Description,Recent Reviews Summary,All Reviews Summary,Recent Reviews Number,All Reviews Number,Developer,Publisher,Supported Languages,Popular Tags,Game Features,Minimum Requirements
DEATH STRANDING DIRECTOR'S CUT,Free,Free,"30 Mar, 2022",https://store.steampowered.com/app/1850570/DEATH_STRANDING_DIRECTORS_CUT/?snr=1_7_7_230_150_9,"From legendary game creator Hideo Kojima comes a genre-defying experience, now expanded in this definitive DIRECTOR＊S CUT. As Sam Bridges, your mission is to deliver hope to humanity by connecting the last survivors of a decimated America. Can you reunite the shattered world, one step at a time?",Very Positive,Very Positive,- 92% of the 434 user reviews in the last 30 days are positive.,"- 93% of the 14,599 user reviews for this game are positive.",KOJIMA PRODUCTIONS,505 Games,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Czech', 'Dutch', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Turkish']","['Story Rich', 'Open World', 'Walking Simulator', 'Atmospheric', 'Adventure', 'Action', 'Exploration', 'Great Soundtrack', 'Singleplayer', 'Third Person', 'Cinematic', 'Post-apocalyptic', 'Sci-fi', 'Action-Adventure', 'Horror', 'Relaxing', 'Combat', 'Multiplayer', 'Third-Person Shooter', 'Stealth']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  Windows? 10 | Processor: |  Intel? Core? i5-3470 or AMD Ryzen? 3 1200 | Memory: |  8 GB RAM | Graphics: |  GeForce GTX 1050 4 GB or AMD Radeon? RX 560 4 GB | DirectX: |  Version 12 | Storage: |  80 GB available space | Sound Card: |  DirectX compatible | Additional Notes: |  AVX instruction set required
NBA 2K24,$59.99 ,$59.99 ,"8 Sep, 2023",https://store.steampowered.com/app/2338770/NBA_2K24/?snr=1_7_7_230_150_9,Experience hoops culture in NBA 2K24. Enjoy loads of action and limitless personalized MyPLAYER options in MyCAREER. Build your perfect lineup in MyTEAM. Feel more responsive gameplay and polished visuals while playing with your favorite NBA and WNBA teams in PLAY NOW.,,,,,Visual Concepts,2K,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']","['Sports', 'Simulation', 'Basketball', 'eSports', 'Immersive Sim', '3D', 'Realistic', 'Management', 'PvP', 'Character Customization', 'Controller', 'Team-Based', 'Trading', 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'Singleplayer', '4 Player Local']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'Remote Play Together']","Requires a 64-bit processor and operating system | OS: |  Windows 10 64-bit or Windows 11 64-bit | Processor: |  Intel? Core? i3-2100 @  3.10 GHz/ AMD FX-4100 @ 3.60 GHz or better | Memory: |  4 GB RAM | Graphics: |  NVIDIA? GeForce? GT 450 1GB/ ATI? Radeon? HD 7770 1 GB or better | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  110 GB available space | Sound Card: |  Directx 9.0x | Additional Notes: |  Dual-analog Gamepad recommended. Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game) include DirectX and Visual C++ Redistributable 2012. In order to play NBA 2K24 on PC, you need a processor capable of supporting SSE 4.2 and AVX."
Craftopia,$12.49 ,$12.49 ,"4 Sep, 2020",https://store.steampowered.com/app/1307550/Craftopia/?snr=1_7_7_230_150_9,"Craftopia is the brand new multiplayer survival action game made in Japan. We combined many features we find enjoyable, such as hunting, farming, hack-and-slash, building, automation to develop this game.",Mixed,Very Positive,"- 60% of the 232 user reviews in the last 30 days are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.","- 80% of the 15,541 user reviews for this game are positive.This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.",Pocketpair,Pocketpair,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']","['Open World', 'Crafting', 'Survival', 'Multiplayer', 'Open World Survival Craft', 'Sandbox', 'RPG', 'Building', 'Action', 'Online Co-Op', 'Early Access', 'Adventure', 'Co-op', 'Anime', 'Indie', 'Character Customization', 'Hack and Slash', 'Automation', 'Singleplayer', 'Third Person']","['Single-player', 'Online Co-op', 'LAN Co-op', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Tablet']",Requires a 64-bit processor and operating system | OS: |  Windows 7 SP1 or later | Processor: |  2.0 GHz Dual Core or similar | Memory: |  8 GB RAM | Graphics: |  VRAM 2GB | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  12 GB available space
WARNO,$39.99 ,$39.99 ,"20 Jan, 2022",https://store.steampowered.com/app/1611600/WARNO/?snr=1_7_7_230_150_9,"Realistic, immersive, breathtaking. WARNO is the ultimate World War III battle simulator from the masters of strategy, Eugen Systems. A Cold War turns decisively hot as you command hundreds of units on a beautiful and brutal battlefield. Outsmart, outfight, and lead your forces to total victory.",Very Positive,Very Positive,- 82% of the 197 user reviews in the last 30 days are positive.,"- 82% of the 5,568 user reviews for this game are positive.",Eugen Systems,Eugen Systems,"['English', 'French', 'German', 'Spanish - Spain', 'Russian', 'Simplified Chinese']","['Early Access', 'Military', 'Wargame', 'Real Time Tactics', 'RTS', 'War', 'Cold War', 'Strategy', 'Tanks', 'Artificial Intelligence', 'Real-Time', 'PvP', 'Turn-Based Strategy', 'Alternate History', 'Historical', 'Tactical', 'Simulation', 'Realistic', 'Team-Based', 'Bullet Time']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Cloud']","Requires a 64-bit processor and operating system | OS: |  64-bit Windows 11 / 10 / 8.1 / 7 with Service Pack 1 | Processor: |  TBD,  we aim for minimum system requirements similar to Steel Division 2 | Graphics: |  TBD,  we aim for minimum system requirements similar to Steel Division 2 | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  50 GB available space | Sound Card: |  DirectX Compatible Sound Card"
Cassette Beasts,$10.49 ,$10.49 ,"26 Apr, 2023",https://store.steampowered.com/app/1321440/Cassette_Beasts/?snr=1_7_7_230_150_9,Collect awesome monsters to use during turn-based battles in this open-world RPG. Combine any two monster forms using Cassette Beasts＊ Fusion System to create unique and powerful new ones!,Overwhelmingly Positive,Overwhelmingly Positive,- 95% of the 501 user reviews in the last 30 days are positive.,"- 96% of the 3,381 user reviews for this game are positive.",Bytten Studio,Raw Fury,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese', 'Spanish - Latin America', 'Portuguese - Brazil']","['JRPG', 'RPG', 'Casual', 'Local Co-Op', 'Colorful', '2D', 'Singleplayer', 'Co-op', 'Creature Collector', 'Anime', 'Simulation', 'Multiplayer', 'Local Multiplayer', '3D', 'Turn-Based', 'Turn-Based Tactics', 'Cute', 'Story Rich', 'Turn-Based Combat', 'Exploration']","['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play Together']","Requires a 64-bit processor and operating system | OS: |  Windows 10 | Processor: |  2+ Cores, 2+ GHz | Memory: |  8 GB RAM | Graphics: |  2 GB VRAM, OpenGL 3.3 | Storage: |  2 GB available space | Additional Notes: |  30 FPS @ 1080p on 'Low' quality preset"
Tropico 6,$29.99 ,$29.99 ,"29 Mar, 2019",https://store.steampowered.com/app/492720/Tropico_6/?snr=1_7_7_230_150_9,El Presidente is back! Prove yourself once again as a feared dictator or peace-loving statesman on the island state of Tropico and shape the fate of your very own banana republic through four distinctive eras.,Very Positive,Very Positive,- 85% of the 108 user reviews in the last 30 days are positive.,"- 87% of the 15,794 user reviews for this game are positive.","Limbic Entertainment, Realmforge Studios",Kalypso Media,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Arabic', 'Japanese']","['Strategy', 'City Builder', 'Simulation', 'Economy', 'Management', 'Political Sim', 'Multiplayer', 'Sandbox', 'Politics', 'Building', 'Singleplayer', 'Political', 'Choices Matter', 'Funny', 'Co-op', 'Diplomacy', 'Destruction', 'Atmospheric', 'Story Rich', 'Top-Down']","['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Remote Play on TV']","Requires a 64-bit processor and operating system | OS: |  Windows 7 64-bit | Processor: |  AMD or Intel, 3 GHz (AMD A10 7850K, Intel i3-2000) | Memory: |  8 GB RAM | Graphics: |  AMD/NVIDIA dedicated GPU, 2GB dedicated VRAM (Radeon HD 7870, Geforce GTX 750) | DirectX: |  Version 11 | Storage: |  16 GB available space"
DRAGON BALL FighterZ,$49.99 ,$49.99 ,"26 Jan, 2018",https://store.steampowered.com/app/678950/DRAGON_BALL_FighterZ/?snr=1_7_7_230_150_9,DRAGON BALL FighterZ is born from what makes the DRAGON BALL series so loved and famous: endless spectacular fights with its all-powerful fighters.,Very Positive,Very Positive,- 90% of the 528 user reviews in the last 30 days are positive.,"- 90% of the 44,971 user reviews for this game are positive.",Arc System Works,BANDAI NAMCO Entertainment,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Latin America']","['Fighting', 'Anime', 'Action', '2D Fighter', 'Multiplayer', 'Local Multiplayer', 'Competitive', 'Controller', 'Singleplayer', 'Arcade', 'PvP', 'eSports', 'Difficult', 'Fast-Paced', 'Spectacle fighter', 'Combat', ""Beat 'em up"", 'Comic Book', 'Third Person', 'Adventure']","['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']","Requires a 64-bit processor and operating system | OS: |  Windows 7/8/10 (64-bit OS required) | Processor: |  AMD FX-4350, 4.2 GHz / Intel Core i5-3470, 3.20 GHz | Memory: |  4 GB RAM | Graphics: |  Radeon HD 6870, 1 GB / GeForce GTX 650 Ti, 1 GB | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  6 GB available space | Sound Card: |  DirectX compatible soundcard or onboard chipset"
Resident Evil 3,$31.99 ,$31.99 ,"24 Jan, 2019",https://store.steampowered.com/app/952060/Resident_Evil_3/?snr=1_7_7_230_150_9,"Jill Valentine is one of the last remaining people in Raccoon City to witness the atrocities Umbrella performed. To stop her, Umbrella unleashes their ultimate secret weapon: Nemesis! Also includes Resident Evil Resistance, a new 1 vs 4 online multiplayer game set in the Resident Evil universe.",Very Positive,Very Positive,- 90% of the 890 user reviews in the last 30 days are positive.,"- 80% of the 48,716 user reviews for this game are positive.","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean', 'Arabic', 'Thai']","['Action', 'Zombies', 'Horror', 'Female Protagonist', 'Multiplayer', 'Survival Horror', 'Remake', 'Singleplayer', 'Third Person', 'Co-op', 'Gore', 'Third-Person Shooter', 'Violent', 'Story Rich', 'Atmospheric', 'Adventure', 'Sexual Content', 'Classic', 'Difficult', 'Great Soundtrack']","['Single-player', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Tablet']","Requires a 64-bit processor and operating system | OS: |  WINDOWS? 10 (64-BIT Required) | Processor: |  Intel? Core? i5-4460 or AMD FX?-6300 or better | Memory: |  8 GB RAM | Graphics: |  NVIDIA? GeForce? GTX 960 or AMD Radeon? RX 460 | DirectX: |  Version 12 | Network: |  Broadband Internet connection | Storage: |  45 GB available space | Additional Notes: |  Anticipated performance at these specifications is 1080p/30FPS for Resident Evil 3 and 720p/30FPS for Resident Evil Resistance. If you don't have enough graphics memory to run the game at your selected texture quality, you must go to Options > Graphics and lower the texture quality or shadow quality, or decrease the resolution. An internet connection is required for product activation. In addition, an internet connection is required at all times when playing Resident Evil Resistance. (Network connectivity uses Steam? developed by Valve? Corporation.)"
"Warhammer 40,000: Chaos Gate - Daemonhunters",$25.99 ,$25.99 ,"5 May, 2022",https://store.steampowered.com/app/1611910/Warhammer_40000_Chaos_Gate__Daemonhunters/?snr=1_7_7_230_150_9,"Lead humanity＊s greatest weapon, the Grey Knights, in this fast-paced turn-based tactical RPG. Root out and purge a galaxy-spanning plague in a cinematic, story-driven campaign, using the tactics and talents of your own personalised squad of Daemonhunters.",Mostly Positive,Mostly Positive,- 75% of the 188 user reviews in the last 30 days are positive.,"- 78% of the 7,598 user reviews for this game are positive.",Complex Games,Frontier Foundry,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']","['Warhammer 40K', 'Turn-Based Strategy', 'Turn-Based Tactics', 'Strategy RPG', 'Tactical', 'Choices Matter', 'Strategy', 'PvE', 'Character Customization', '3D', 'Third Person', 'Turn-Based Combat', 'Story Rich', 'Dark Fantasy', 'Stylized', 'Sci-fi', 'RPG', 'Demons', 'Tactical RPG', 'Futuristic']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",OS: |  Windows 8.1/10 64bit | Processor: |  Intel i5-4590 / AMD FX-8350 | Memory: |  8 GB RAM | Graphics: |  NVIDIA GeForce GTX 770 / AMD Radeon R9 280X | DirectX: |  Version 11 | Storage: |  18 GB available space
Resident Evil 7 Biohazard,$15.99 ,$15.99 ,"23 Jan, 2017",https://store.steampowered.com/app/418370/Resident_Evil_7_Biohazard/?snr=1_7_7_230_150_9,Fear and isolation seep through the walls of an abandoned southern farmhouse. "7" marks a new beginning for survival horror with the ※Isolated View§ of the visceral new first-person perspective.,Overwhelmingly Positive,Overwhelmingly Positive,- 95% of the 748 user reviews in the last 30 days are positive.,"- 95% of the 50,237 user reviews for this game are positive.","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Arabic', 'Korean', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Polish', 'Thai', 'Spanish - Latin America']","['Horror', 'Survival Horror', 'First-Person', 'Singleplayer', 'Atmospheric', 'Gore', 'Zombies', 'Psychological Horror', 'Action', 'Violent', 'Survival', 'Adventure', 'Story Rich', 'Puzzle', 'VR', 'Multiplayer', 'FPS', 'Exploration', 'Shooter', 'Classic']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","Requires a 64-bit processor and operating system | OS: |  WINDOWS? 10 (64-BIT Required) | Processor: |  Intel? Core? i5-4460, 2.70GHz or AMD FX?-6300 or better | Memory: |  8 GB RAM | Graphics: |  NVIDIA? GeForce? GTX 960 or AMD Radeon? RX 460 | DirectX: |  Version 12 | Storage: |  24 GB available space | Sound Card: |  DirectSound compatible (must support DirectX? 9.0c or higher) | Additional Notes: |  Hardware specification target 1080P/30FPS. May require reduction in Texture Quality settings or turning Texture streaming to OFF due to high VRAM requirements. *Internet connection required for game activation."
STRANGER OF PARADISE FINAL FANTASY ORIGIN,$34.99 ,$34.99 ,"6 Apr, 2023",https://store.steampowered.com/app/1358700/STRANGER_OF_PARADISE_FINAL_FANTASY_ORIGIN/?snr=1_7_7_230_150_9,"Developed in cooperation between Square Enix and Team NINJA (Koei Tecmo Games), STRANGER OF PARADISE FINAL FANTASY ORIGIN is a hard-core action RPG that takes the FINAL FANTASY series in a new direction. Experience the boldest and most merciless battles in FINAL FANTASY history.",Very Positive,Very Positive,- 88% of the 145 user reviews in the last 30 days are positive.,"- 86% of the 1,474 user reviews for this game are positive.","Square Enix, KOEI TECMO GAMES CO., LTD.",Square Enix,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']","['Action', 'Adventure', 'RPG', 'Action RPG', 'JRPG', 'Spectacle fighter', '3D', 'Third Person', 'Atmospheric', 'Dark Fantasy', 'Dark', 'Fantasy', 'PvP', 'Multiplayer', 'Singleplayer', 'Souls-like', 'Online Co-Op', 'Story Rich', 'Violent', 'Hack and Slash']","['Single-player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  Windows? 10 64-bit | Processor: |  AMD Ryzen? 5 1400 / Intel? Core? i7-6700 | Memory: |  8 GB RAM | Graphics: |  AMD Radeon? RX 470 / NVIDIA? GeForce? GTX 1060 6GB VRAM | DirectX: |  Version 11 | Storage: |  90 GB available space | Additional Notes: |  30FPS (1280x720)
Metro: Last Light Redux,$12.59 ,$1.25 ,"27 Aug, 2014",https://store.steampowered.com/app/287390/Metro_Last_Light_Redux/?snr=1_7_7_230_150_9,"It is the year 2034. Beneath the ruins of post-apocalyptic Moscow, in the tunnels of the Metro, the remnants of mankind are besieged by deadly threats from outside 每 and within. Mutants stalk the catacombs beneath the desolate surface, and hunt amidst the poisoned skies above.",Very Positive,Very Positive,- 93% of the 415 user reviews in the last 30 days are positive.,"- 89% of the 50,714 user reviews for this game are positive.",4A Games,Deep Silver,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Dutch', 'Polish', 'Russian', 'Ukrainian']","['Post-apocalyptic', 'FPS', 'Atmospheric', 'Action', 'Story Rich', 'Horror', 'Singleplayer', 'First-Person', 'Shooter', 'Stealth', 'Survival', 'Based On A Novel', 'Adventure', 'Survival Horror', 'Remake', 'Nudity', 'Sci-fi', 'Difficult', 'Multiplayer', 'Open World']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']","OS: |  Windows Vista, 7 or 8 (64-bit only) | Processor: |  Dual Core CPU (2.2+ GHz Dual Core CPU or better) | Memory: |  2 GB RAM | Graphics: |  DirectX 10, Shader Model 4 compliant graphics cards (GeForce 8800 GT 512 MB, GeForce GTS 250, etc) | DirectX: |  Version 10 | Storage: |  10 GB available space | Additional Notes: |  64-bit only"
Minecraft Dungeons,$10.49 ,$10.49 ,"22 Sep, 2021",https://store.steampowered.com/app/1672970/Minecraft_Dungeons/?snr=1_7_7_230_150_9,"Fight your way through an exciting action-adventure game, inspired by classic dungeon crawlers and set in the Minecraft universe!",Very Positive,Very Positive,- 90% of the 253 user reviews in the last 30 days are positive.,"- 91% of the 7,832 user reviews for this game are positive.","Mojang Studios, ?Double Eleven",Xbox Game Studios,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Swedish', 'Traditional Chinese']","['Dungeon Crawler', 'Hack and Slash', 'Adventure', 'Action', 'RPG', 'Action RPG', 'Action-Adventure', 'Exploration', 'Top-Down', 'Arcade', 'Isometric', 'Colorful', 'Loot', 'Voxel', 'Cute', 'Fantasy', 'Family Friendly', 'Atmospheric', 'Funny', 'Magic']","['Single-player', 'Online Co-op', 'Shared/Split Screen Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']","Requires a 64-bit processor and operating system | OS: |  Windows 10 (November 2019 Update or higher), 8 or 7 (64-bit with the latest updates; some functionality not supported on Windows 7 and 8) | Processor: |  Core i5 2.8GHz or equivalent | Memory: |  8 GB RAM | Graphics: |  NVIDIA GeForce GTX 660 or AMD Radeon HD 7870 or equivalent DX11 GPU | DirectX: |  Version 11 | Storage: |  6 GB available space | Additional Notes: |  Performance increases with higher-end systems. Not supported on Windows 10S."
Pinball FX,Free,Free,"13 Apr, 2023",https://store.steampowered.com/app/2328760/Pinball_FX/?snr=1_7_7_230_150_10,Pinball FX is digital pinball evolved. Get the highest score on tables inspired by the biggest brands in entertainment. New tables arrive frequently!,Mixed,Mixed,- 45% of the 92 user reviews in the last 30 days are positive.,- 54% of the 690 user reviews for this game are positive.,Zen Studios,Zen Studios,"['English', 'French', 'Italian', 'German', 'Spanish - Spain']","['Free to Play', 'Pinball', 'Arcade', 'Retro', 'Simulation', 'Physics', 'Casual', 'Score Attack', 'Family Friendly', ""1990's"", '1980s', '3D', 'Relaxing', 'Atmospheric', 'Realistic', 'Singleplayer', 'Local Multiplayer', 'Asynchronous Multiplayer', '4 Player Local', 'Top-Down']","['Single-player', 'Shared/Split Screen PvP', 'Steam Achievements', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'Remote Play Together']",Requires a 64-bit processor and operating system | OS: |  Windows 10 64bit | Processor: |  Intel Core i5-2500K@3.3GHz or AMD FX 6300@3.5GHz / Intel Core i7-4770K@3.5GHz or Ryzen 5 1500X@3.5GHz | Memory: |  16 GB RAM | Graphics: |  Nvidia GTX 960 or AMD R9 380 | Storage: |  35 GB available space
Ghost Trick: Phantom Detective,$29.99 ,$29.99 ,"29 Jun, 2023",https://store.steampowered.com/app/1967430/Ghost_Trick_Phantom_Detective/?snr=1_7_7_230_150_10,"Ghost Trick: Phantom Detective, the classic puzzle-solving mystery adventure directed by Ace Attorney creator Shu Takumi, is back! This long-awaited HD remaster features upgraded visuals and sound and new gallery content.",Overwhelmingly Positive,Overwhelmingly Positive,- 99% of the 291 user reviews in the last 30 days are positive.,"- 99% of the 1,521 user reviews for this game are positive.","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Traditional Chinese', 'Japanese', 'Korean']","['Adventure', 'Puzzle', 'Action', 'Mystery', 'Story Rich', 'Detective', 'Singleplayer', 'Action-Adventure', 'Anime', 'Visual Novel', 'Great Soundtrack', 'Point & Click', 'Supernatural']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  WINDOWS? 10 (64-BIT Required) | Processor: |  Intel? Core? Core i3 8350k or AMD Ryzen3 3200G | Memory: |  8 GB RAM | Graphics: |  Intel? UHD Graphics 630 or Radeon? Vega 8 Graphics | DirectX: |  Version 12 | Storage: |  7 GB available space
Coral Island,$12.49 ,$12.49 ,"11 Oct, 2022",https://store.steampowered.com/app/1158160/Coral_Island/?snr=1_7_7_230_150_10,"Coral Island is a vibrant and laid-back reimagining of farm sim games. Be who you want and experience enchanting island living at your own pace〞live off the land, nurture animals, build relationships with a diverse cast of townsfolk, and make the world around you a more vital and harmonious place.",Very Positive,Very Positive,- 89% of the 272 user reviews in the last 30 days are positive.,"- 91% of the 6,122 user reviews for this game are positive.",Stairway Games,Humble Games,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Simplified Chinese']","['Early Access', 'Farming Sim', 'Life Sim', 'Relaxing', 'Simulation', 'Agriculture', 'RPG', 'Crafting', 'Dating Sim', 'Sandbox', 'Building', 'Character Customization', 'Open World', 'Singleplayer', 'Casual', 'Indie', 'Adventure', 'Mining', 'Fishing', 'Cartoony']","['Single-player', 'Full controller support']",Requires a 64-bit processor and operating system | OS: |  Windows 10 64 bit | Processor: |  Intel i3 Processor | Memory: |  6 GB RAM | Graphics: |  Nvidia GeForce GTX 660 2GB | DirectX: |  Version 10 | Storage: |  8 GB available space
People Playground,$6.29 ,$6.29 ,"23 Jul, 2019",https://store.steampowered.com/app/1118200/People_Playground/?snr=1_7_7_230_150_10,"Shoot, stab, burn, poison, tear, vaporise, or crush ragdolls in a large open space.",Overwhelmingly Positive,Overwhelmingly Positive,"- 98% of the 6,774 user reviews in the last 30 days are positive.","- 98% of the 191,841 user reviews for this game are positive.",mestiez,Studio Minus,['English'],"['Sandbox', 'Physics', 'Gore', 'Blood', 'Moddable', 'Violent', '2D', 'Singleplayer', 'Destruction', 'Simulation', 'Funny', 'Building', 'Pixel Graphics', 'Psychological Horror', 'Indie', 'Casual', 'Action', 'Horror', 'Comedy', 'Choose Your Own Adventure']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']",OS: |  Windows 7 SP2+ | Processor: |  2 GHz | Memory: |  4 GB RAM | Graphics: |  Graphics card with DX10 (shader model 4.0) capabilities | DirectX: |  Version 10 | Storage: |  350 MB available space
ACE COMBAT? 7: SKIES UNKNOWN,$29.99 ,$29.99 ,"31 Jan, 2019",https://store.steampowered.com/app/502500/ACE_COMBAT_7_SKIES_UNKNOWN/?snr=1_7_7_230_150_10,Become an ace pilot and soar through photorealistic skies with full 360 degree movement; down enemy aircraft and experience the thrill of engaging in realistic sorties! Aerial combat has never looked or felt better!,Very Positive,Very Positive,- 92% of the 440 user reviews in the last 30 days are positive.,"- 87% of the 28,470 user reviews for this game are positive.",Bandai Namco Studios Inc.,Bandai Namco Entertainment,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Russian', 'Korean', 'Traditional Chinese', 'Spanish - Latin America', 'Simplified Chinese']","['Flight', 'Jet', 'Military', 'War', 'Shooter', 'Arcade', 'Cinematic', 'PvP', '3D', 'Simulation', 'First-Person', 'Action', 'Third Person', 'Story Rich', 'Multiplayer', 'Great Soundtrack', 'Silent Protagonist', 'Singleplayer', 'Sci-fi', 'Realistic']","['Single-player', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",Requires a 64-bit processor and operating system | OS: |  Windows 7 / 8 / 8.1 / 10 (64-bit OS required) | Processor: |  Intel Core i3-7100 | Memory: |  4 GB RAM | Graphics: |  NVIDIA GeForce GTX 750Ti(2GB) | DirectX: |  Version 11 | Network: |  Broadband Internet connection | Storage: |  50 GB available space | Sound Card: |  DirectX 11 sound card | Additional Notes: |  Estimated performance: 1080p/60fps with graphics settings at "Low". Framerate might drop in graphics-intensive scenes.  - 64-bit processor and operating system are required.
30XX,$10.49 ,$8.39 ,"9 Aug, 2023",https://store.steampowered.com/app/1029210/30XX/?snr=1_7_7_230_150_10,"Jump, shoot, and slash your way through 30XX, the roguelike action platformer you can play with a friend! Explore lush, ever-changing worlds that mix precise platforming with fevered combat. Destroy fearsome Guardians. Master unique Powers. Rediscover the thousand years we've lost.",Very Positive,Very Positive,- 85% of the 249 user reviews in the last 30 days are positive.,"- 92% of the 1,341 user reviews for this game are positive.",Batterystaple Games,Batterystaple Games,"['English', 'French', 'Italian', 'German', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Portuguese - Brazil', 'Traditional Chinese']","['Action Roguelike', 'Side Scroller', '2D Platformer', 'Roguelite', 'Perma Death', 'Platformer', 'Roguelike', '2D', 'Female Protagonist', 'Controller', 'Procedural Generation', 'Pixel Graphics', 'Action', 'Sci-fi', 'Level Editor', 'Robots', 'Adventure', 'Co-op', 'Multiplayer', 'Local Co-Op']","['Single-player', 'Online Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Includes level editor', 'Remote Play on TV', 'Remote Play Together']",OS: |  Windows Vista or Later | Processor: |  Toaster processor or better (2009+) | Graphics: |  Most cards that can produce Graphics(tm) | DirectX: |  Version 9.0c | Storage: |  2000 MB available space | Sound Card: |  Sound recommended.
